,name,address,categories,id
0,Battery Park,New York ,park,OSMway-5029111
1,JFK Long Term Parking Area A,,parking,OSMway-5889489
2,Saint Michael’s Cemetery,,cemetery,OSMway-11836667
3,Cadman Plaza Park,,park,OSMway-20070720
4,Fort Greene Park,,park,OSMway-20512138
5,Columbus Park,,park,OSMway-20517264
6,Korean War Veterans Plaza,,park,OSMway-20518483
7,Walt Whitman Park,,park,OSMway-20521006
8,Bar and Grill Park,,park,OSMway-20521884
9,Maritcha R. Lyons Park,,park,OSMway-20523422
10,Soldiers' and Sailors' Arch,,monument,OSMway-20679503
11,Detective Joseph Mayrose Park,,park,OSMway-20952311
12,Hoffman Island,,park;islet,OSMway-21807912
13,Swinburne Island,,nature_reserve;islet,OSMway-21808038
14,Pralls Island,,nature_reserve;island,OSMway-22703014
15,Shooters Island,,nature_reserve;island,OSMway-22703052
16,Bryant Park,New York Between 40th and 42nd Streets at 6th Avenue ,park;attraction,OSMway-22727025
17,Madison Square Park,New York 11 Madison Avenue ,park,OSMway-22899286
18,Washington Square Park,,park,OSMway-22899302
19,Dr. Gertrude B. Kelly Playground,,park,OSMway-22900913
20,Chelsea Park,,park,OSMway-22900959
21,Gramercy Park,,park,OSMway-22901074
22,Chelsea Waterside Park,,park,OSMway-22903972
23,14th Street Park,,park,OSMway-22904239
24,Liberty Park,,park,OSMway-22926662
25,Washington Market Park,,park,OSMway-22926980
26,Chelsea Piers,,sports_centre,OSMway-22935714
27,Red Hook Community Farm,558 Columbia Street ,garden,OSMway-22941703
28,DeWitt Clinton Park,New York ,park,OSMway-22941918
29,Jackson Square Park,,park,OSMway-22961817
30,Corporal John A. Seravalli Playground,,park,OSMway-22961821
31,Clement Clarke Moore Park,,park,OSMway-22961904
32,Atlantic Center,,commercial,OSMway-23042491
33,Tudor City Greens - North Park,,park,OSMway-23048485
34,Tudor City Greens - South Park,,park,OSMway-23048493
35,Park Circle,,grass,OSMway-23087352
36,Farragut Houses,,residential,OSMway-23113665
37,Pier 40,,pitch,OSMway-23529474
38,Whitney Houston Rest Stop,,parking,OSMway-24155245
39,Church Square Park,,park,OSMway-24404158
40,Stevens Park,,park,OSMway-24404209
41,Hudson Park,,park,OSMway-24404232
42,Pier A Park,,park,OSMway-24404263
43,Elysian Park,,park,OSMway-24404317
44,Sinatra Park,,park,OSMway-24404351
45,Columbus Park,,park,OSMway-24404437
46,John F Kennedy Stadium,,recreation_ground,OSMway-24404457
47,Van Vorst Park,,park,OSMway-24582243
48,Yankee Stadium,Bronx Yankee Stadium 1 East 161st Street ,stadium;baseball,OSMway-24801630
49,Zuccotti Park,,park,OSMway-25026338
50,G U Harvey Playground,,park,OSMway-25154401
51,Francis Lewis Park,,park,OSMway-25154502
52,Frank Golden Park,,park,OSMway-25154543
53,Tompkins Square Park,,park,OSMway-25162896
54,Clearview Park,,golf_course,OSMway-25163218
55,Raymond O'Conner Park,,park,OSMway-25163359
56,For-Hire Vehicle Holding Lot LGA Airport,,parking,OSMway-25165529
57,Olympic Pool,,swimming_pool,OSMway-25196725
58,Wading Pool,,swimming_pool,OSMway-25196746
59,Hudson County Courthouse,,courthouse,OSMway-25197377
60,Prospect Heights Community Farm,,garden,OSMway-25198703
61,Fountain of the Fairs West,,fountain,OSMway-25339473
62,Fountain of the Fairs East,,fountain,OSMway-25339475
63,Fountain of the Fairs,,fountain,OSMway-25339483
64,Maloof Skate Park,,pitch,OSMway-25339488
65,Astoria Play Center and Swimming Pool,,swimming_pool,OSMway-25345924
66,Grand Central Parkway,,parking,OSMway-25346338
67,Mount Hebron Cemetery,130-04 Horace Harding Expressway ,cemetery,OSMway-25346489
68,Gantry Plaza State Park,,park,OSMway-25355873
69,John F Murray Playground,,park,OSMway-25355909
70,Bowne Park,,park,OSMway-25414934
71,Flushing Cemetery,16306 46th Avenue ,cemetery,OSMway-25415827
72,Rainey Park,Queens Vernon Boulevard between 33th Road and 34th Avenue ,park,OSMway-25419495
73,Two Coves Community Garden,,garden,OSMway-25419502
74,Joe Sabba Park,,park,OSMway-25420828
75,Gantry Plaza State Park,Long Island City 4-09 47th Road ,park,OSMway-25428484
76,Hoffman Park,,park,OSMway-25430809
77,Maple Grove Cemetery,127-15 Kew Gardens Road ,cemetery,OSMway-25493422
78,Kissena Golf Course,Flushing 165-14 Booth Memorial Avenue ,golf_course,OSMway-25691045
79,Kissena Corridor Park,,park,OSMway-25691241
80,Cunningham Park,,park,OSMway-25694863
81,Mount Saint Mary Cemetery,172-00 Booth Memorial Avenue ,cemetery,OSMway-25703243
82,Central Park Tennis Center,,sports_centre,OSMway-26615871
83,ShopRite Park,,park,OSMway-26806351
84,Madison Street Park,,park,OSMway-26806568
85,Hoboken High School,,school,OSMway-26807513
86,Thomas G. Connors Primary School,Hoboken 201 Monroe Street ,school,OSMway-26807517
87,Wallace School,1100 Willow Ave ,school,OSMway-26807519
88,Calabro School,524 Park Ave ,school,OSMway-26807521
89,Joseph F. Brandt Middle School,215 9th St ,school,OSMway-26807522
90,Hoboken Terminal,,train_station,OSMway-26808027
91,Hoboken Catholic Academy,Hoboken 555 7th St ,school,OSMway-26809079
92,Jubilee Center,Hoboken 601-603 Jackson St ,school,OSMway-26809080
93,Samuel C. Williams Library,,library,OSMway-26974141
94,Schaefer Athletic Center,,sports_centre,OSMway-26974142
95,Edwin A. Stevens Hall and DeBaun Auditorium,,university,OSMway-26974144
96,Davidson Laboratory,Hoboken 711 Hudson St ,school,OSMway-26974145
97,Five Marine View Plaza,Hoboken 5 Marine View Plaza ,commercial,OSMway-27080290
98,Municipal Parking Garage B,,parking,OSMway-27080292
99,Municipal Lot G,,parking,OSMway-27080293
